SetPoint [°C],Timestamp,Reference temperature [°C],DUT temperature [°C]
0,02.02.2021 12:11:53,0.100000000000023,0.1875
0,02.02.2021 12:11:53,0.100000000000023,0.1875
0,02.02.2021 12:11:57,0.100000000000023,0.1875
0,02.02.2021 12:11:57,0.100000000000023,0.1875
0,02.02.2021 12:12:01,0.100000000000023,0.1875
0,02.02.2021 12:12:01,0.100000000000023,0.1875
0,02.02.2021 12:12:05,0.100000000000023,0.1875
0,02.02.2021 12:12:05,0.100000000000023,0.1875
0,02.02.2021 12:12:09,0.100000000000023,0.1875
0,02.02.2021 12:12:09,0.100000000000023,0.1875
0,02.02.2021 12:12:13,0.100000000000023,0.1875
0,02.02.2021 12:12:13,0.100000000000023,0.1875
0,02.02.2021 12:12:17,0.100000000000023,0.1875
0,02.02.2021 12:12:17,0.100000000000023,0.1875
0,02.02.2021 12:12:21,0.100000000000023,0.1875
0,02.02.2021 12:12:21,0.100000000000023,0.1875
0,02.02.2021 12:12:25,0.100000000000023,0.1875
15,02.02.2021 12:34:23,15.17,14.875
15,02.02.2021 12:34:23,15.17,14.875
15,02.02.2021 12:34:27,15.17,14.875
15,02.02.2021 12:34:27,15.17,14.875
15,02.02.2021 12:34:31,15.17,14.875
15,02.02.2021 12:34:31,15.17,14.875
15,02.02.2021 12:34:35,15.17,14.875
15,02.02.2021 12:34:35,15.17,14.875
15,02.02.2021 12:34:39,15.17,14.875
15,02.02.2021 12:34:39,15.17,14.875
15,02.02.2021 12:34:43,15.17,14.875
15,02.02.2021 12:34:43,15.17,14.875
15,02.02.2021 12:34:47,15.17,14.875
15,02.02.2021 12:34:47,15.17,14.875
15,02.02.2021 12:34:51,15.17,14.875
15,02.02.2021 12:34:51,15.17,14.875
15,02.02.2021 12:34:55,15.17,14.875
30,02.02.2021 12:57:41,30.29,29.625
30,02.02.2021 12:57:41,30.29,29.625
30,02.02.2021 12:57:45,30.3,29.625
30,02.02.2021 12:57:45,30.3,29.625
30,02.02.2021 12:57:49,30.29,29.625
30,02.02.2021 12:57:49,30.29,29.625
30,02.02.2021 12:57:53,30.3,29.625
30,02.02.2021 12:57:53,30.3,29.625
30,02.02.2021 12:57:56,30.3,29.625
30,02.02.2021 12:57:56,30.3,29.625
30,02.02.2021 12:58:00,30.3,29.625
30,02.02.2021 12:58:04,30.3,29.625
30,02.02.2021 12:58:04,30.3,29.625
30,02.02.2021 12:58:08,30.3,29.625
30,02.02.2021 12:58:08,30.3,29.6875
30,02.02.2021 12:58:12,30.3,29.6875
30,02.02.2021 12:58:12,30.3,29.6875
45,02.02.2021 13:19:40,45.07,44.4375
45,02.02.2021 13:19:40,45.07,44.4375
45,02.02.2021 13:19:44,45.07,44.4375
45,02.02.2021 13:19:44,45.07,44.4375
45,02.02.2021 13:19:48,45.07,44.4375
45,02.02.2021 13:19:48,45.07,44.4375
45,02.02.2021 13:19:51,45.07,44.4375
45,02.02.2021 13:19:51,45.07,44.4375
45,02.02.2021 13:19:55,45.07,44.4375
45,02.02.2021 13:19:55,45.07,44.4375
45,02.02.2021 13:19:59,45.07,44.4375
45,02.02.2021 13:19:59,45.07,44.4375
45,02.02.2021 13:20:03,45.07,44.4375
45,02.02.2021 13:20:07,45.07,44.4375
45,02.02.2021 13:20:07,45.07,44.4375
45,02.02.2021 13:20:11,45.07,44.4375
45,02.02.2021 13:20:11,45.07,44.5
60,02.02.2021 13:42:21,59.87,59.3125
60,02.02.2021 13:42:21,59.87,59.3125
60,02.02.2021 13:42:25,59.87,59.375
60,02.02.2021 13:42:25,59.87,59.375
60,02.02.2021 13:42:29,59.87,59.3125
60,02.02.2021 13:42:33,59.87,59.3125
60,02.02.2021 13:42:33,59.87,59.375
60,02.02.2021 13:42:37,59.87,59.375
60,02.02.2021 13:42:37,59.87,59.3125
60,02.02.2021 13:42:41,59.87,59.3125
60,02.02.2021 13:42:41,59.87,59.375
60,02.02.2021 13:42:45,59.87,59.375
60,02.02.2021 13:42:45,59.87,59.3125
60,02.02.2021 13:42:49,59.87,59.3125
60,02.02.2021 13:42:49,59.87,59.375
60,02.02.2021 13:42:53,59.87,59.375
60,02.02.2021 13:42:53,59.87,59.375
75,02.02.2021 14:03:58,74.93,74.3125
75,02.02.2021 14:03:58,74.93,74.3125
75,02.02.2021 14:04:02,74.93,74.3125
75,02.02.2021 14:04:02,74.93,74.3125
75,02.02.2021 14:04:06,74.93,74.3125
75,02.02.2021 14:04:06,74.93,74.3125
75,02.02.2021 14:04:10,74.93,74.3125
75,02.02.2021 14:04:10,74.93,74.3125
75,02.02.2021 14:04:14,74.93,74.3125
75,02.02.2021 14:04:14,74.93,74.3125
75,02.02.2021 14:04:18,74.93,74.3125
75,02.02.2021 14:04:18,74.93,74.3125
75,02.02.2021 14:04:21,74.93,74.3125
75,02.02.2021 14:04:21,74.93,74.3125
75,02.02.2021 14:04:25,74.93,74.3125
75,02.02.2021 14:04:25,74.93,74.3125
75,02.02.2021 14:04:29,74.93,74.3125
90,02.02.2021 14:25:45,90.01,89.3125
90,02.02.2021 14:25:45,90.01,89.3125
90,02.02.2021 14:25:49,90.01,89.3125
90,02.02.2021 14:25:49,90.01,89.3125
90,02.02.2021 14:25:53,90.01,89.3125
90,02.02.2021 14:25:53,90.01,89.3125
90,02.02.2021 14:25:57,90.01,89.3125
90,02.02.2021 14:25:57,90.01,89.3125
90,02.02.2021 14:26:01,90.01,89.3125
90,02.02.2021 14:26:01,90.01,89.3125
90,02.02.2021 14:26:05,90.01,89.3125
90,02.02.2021 14:26:05,90.01,89.3125
90,02.02.2021 14:26:09,90.01,89.3125
90,02.02.2021 14:26:09,90.01,89.3125
90,02.02.2021 14:26:13,90.01,89.3125
90,02.02.2021 14:26:13,90.01,89.3125
90,02.02.2021 14:26:17,90.01,89.3125
105,02.02.2021 14:46:39,104.99,104.4375
105,02.02.2021 14:46:39,104.99,104.4375
105,02.02.2021 14:46:43,104.99,104.4375
105,02.02.2021 14:46:43,104.99,104.4375
105,02.02.2021 14:46:47,104.99,104.4375
105,02.02.2021 14:46:47,104.99,104.4375
105,02.02.2021 14:46:51,104.99,104.4375
105,02.02.2021 14:46:51,104.99,104.4375
105,02.02.2021 14:46:54,104.99,104.4375
105,02.02.2021 14:46:54,104.99,104.4375
105,02.02.2021 14:46:58,104.99,104.4375
105,02.02.2021 14:46:58,104.99,104.4375
105,02.02.2021 14:47:02,105,104.4375
105,02.02.2021 14:47:02,105,104.4375
105,02.02.2021 14:47:06,105,104.4375
105,02.02.2021 14:47:06,105,104.4375
105,02.02.2021 14:47:10,105,104.4375
